歌名,时间,歌手,专辑名字,歌单名称
without u.,1:38,Stevieboi,without u.,写作业必备歌单 纯音乐
ｓｕｎｓｅｔ,2:03,Stevieboi,ｓｕｎｓｅｔ,写作业必备歌单 纯音乐
with you,5:02,木子,with you,写作业必备歌单 纯音乐
偷 心 惯 犯,2:28,陈季林,偷 心 惯 犯,写作业必备歌单 纯音乐
C U Again,3:22,Cartoon/Futuristik,NCS: The Best of 2016,打野BGM［游戏专用］
Witchcraft [2010],4:10,Pendulum,Alle 30 Goed (Drum 'n' Bass),打野BGM［游戏专用］
Old Town Road,3:24,D. Wills,Old Town Road,打野BGM［游戏专用］
DANCIN KRONO REMIX,4:16,Aaron Smith,DANCIN (KRONO REMIX),打野BGM［游戏专用］
Unstoppable,3:10,The Score,Unstoppable,打野BGM［游戏专用］
The In Between,3:33,Elephante/Anjulie,The In Between,打野BGM［游戏专用］
Solace,4:28,Feint/Laura Brehm,Solace,打野BGM［游戏专用］
See It Again,4:07,Loud Luxury,See It Again,打野BGM［游戏专用］
Natural,3:08,Planet in Limbo,Say Amen,打野BGM［游戏专用］
2 soon,3:26,keshi,2 soon,打野BGM［游戏专用］
goodnight,2:57,ondi vil/ivri,Alone in a Room Full of Painful Thoughts,嘘，请安静（安静只是名字）
I never wanna lose you,2:31,SN??W/Teqkoi,I never wanna lose you,嘘，请安静（安静只是名字）
今晩はお月さん - (今晚月色真好),3:44,ハンバート ハンバート,今晩はお月さん,嘘，请安静（安静只是名字）
カタオモイ - (单相思),3:27,Aimer,Daydream,嘘，请安静（安静只是名字）
Die Trying,3:29,Michl,Die Trying,嘘，请安静（安静只是名字）
get you the moon,2:59,Kina/SN??W,Get You The Moon,嘘，请安静（安静只是名字）
Say Goodbye,2:30,SN??W/Monty Datta,Say Goodbye,嘘，请安静（安静只是名字）
Six Feet Apart,2:53,Alec Benjamin,Six Feet Apart,嘘，请安静（安静只是名字）
Young And Beautiful - (电影《了不起的盖茨比》插曲),3:56,Lana Del Rey,Young And Beautiful,嘘，请安静（安静只是名字）
Be Alright,3:16,MADILYN,Be Alright,嘘，请安静（安静只是名字）
Feeling Like,3:13,Eddd,Feeling Like,听上此歌单你就是巅峰赛最靓的仔
OK (Ofenbach Remix),3:03,Robin Schulz/James Blunt/Ofenbach,OK (The Remixes),听上此歌单你就是巅峰赛最靓的仔
炎炎夏日的海滩该从哪个角度看你的泳装,2:59,桑尼/傲傲,炎炎夏日的海滩该从哪个角度看你的泳装,听上此歌单你就是巅峰赛最靓的仔
Siren (Original Mix),2:48,Panuma/Tokyo Project/Emiah,"Nothing But... Dance Sessions, Vol. 04",听上此歌单你就是巅峰赛最靓的仔
Chernobyl 2017,3:16,Meland X Hauken,Chernobyl 2017,听上此歌单你就是巅峰赛最靓的仔
Glow,4:18,米酒,灵能,听上此歌单你就是巅峰赛最靓的仔
My Sunset (Original Mix),5:26,Feint,Feint EP2,听上此歌单你就是巅峰赛最靓的仔
Maroon 5-Maroon 5 - Don't Wanna Know (TPaul Radio Remix)（音源 remix）,3:10,Weirdo_YYsPicY,Don't Wanna Know (TPaul Radio Remix),听上此歌单你就是巅峰赛最靓的仔
Time To Waste,3:05,米酒,Time To Waste,听上此歌单你就是巅峰赛最靓的仔
Thanks To All（bootleg mix）,2:35,米酒,Thanks To All,听上此歌单你就是巅峰赛最靓的仔
10 Hz Alpha Waterfall (Extended Version),60:00:00,White Noise Meditation,10 Hz Alpha Waterfall (Extended Version),倾听大自然??·??轻音乐狂想曲
