歌名,时间,歌手,专辑名字,歌单名称
RAPSTAR,5:40,吴亦凡/潘玮柏/张靓颖/GAI周延/朴宰范,RAPSTAR,2020年八月最热新歌TOP50
从一片落叶开始 - (Starting With a Fallen Leaf),3:34,苏打绿/Priscilla Ahn,秋：故事,「立秋已至」我夏天才过了一下下呢
秋日心上人,4:07,唐映枫/黄楚桐,秋日心上人,「立秋已至」我夏天才过了一下下呢
如约而至,4:15,许嵩,寻宝游戏,「立秋已至」我夏天才过了一下下呢
八月午后,4:30,好妹妹,西窗,「立秋已至」我夏天才过了一下下呢
秋蝉 - (Autumn Cicada),4:21,莫文蔚,天籁 - Studio Version,「立秋已至」我夏天才过了一下下呢
初秋和你,3:27,隔壁老樊,初秋和你,「立秋已至」我夏天才过了一下下呢
换季,4:48,A-Lin,爱，请问怎么走,「立秋已至」我夏天才过了一下下呢
聊秋,4:29,郭诚（橙子）,聊秋,「立秋已至」我夏天才过了一下下呢
山河故人 - (电影《山河故人》主题曲),3:32,李宇春,山河故人,「立秋已至」我夏天才过了一下下呢
白色秋天,3:43,曾轶可,Forever Road,「立秋已至」我夏天才过了一下下呢
断线,4:17,Shang/lil sophy,断线,【丧】|我把所有情绪都留给了网易云
多想,3:30,九千七,九千七原创集,【丧】|我把所有情绪都留给了网易云
浪费（翻自 林宥嘉）,0:26,是你的垚,浪费,【丧】|我把所有情绪都留给了网易云
你走【片段】（翻自 松紧先生（李宗锦））,0:46,九千七,来日方长,【丧】|我把所有情绪都留给了网易云
一天一天（小清新钢琴纯音乐）（翻自 Various Artists）,4:13,桑子,曾经陪你一起听过的歌（纯音乐合集）,【丧】|我把所有情绪都留给了网易云
一吻天荒【片段】（翻自 胡歌）,0:31,九千七,翻唱片段集,【丧】|我把所有情绪都留给了网易云
那些你很冒险的梦（翻自 林俊杰）,0:35,是你的垚,那些你很冒险的梦,【丧】|我把所有情绪都留给了网易云
夜车（男生版）（翻自 曾轶可）,3:14,九千七,夜车,【丧】|我把所有情绪都留给了网易云
嚣张,4:13,en,嚣张,【丧】|我把所有情绪都留给了网易云
海底（男生版）（翻自 一支榴莲）,3:36,九千七,海底,【丧】|我把所有情绪都留给了网易云
致我们终将逝去的青春 (2020重唱版),4:33,张靓颖,致我们终将逝去的青春,赵英俊作品重唱企划
世界上不存在的歌 (2020重唱版),3:53,陈奕迅,世界上不存在的歌 (2020重唱版),赵英俊作品重唱企划
清风徐来 (2020重唱版),4:51,张信哲,清风徐来 (2020重唱版),赵英俊作品重唱企划
这就是命 (2020重唱版),4:01,胡海泉,这就是命 (2020重唱版),赵英俊作品重唱企划
像小强一样活着 (2020重唱版),4:09,王源,像小强一样活着 (2020重唱版),赵英俊作品重唱企划
我一定会回来的 (2020重唱版),4:14,陆虎,我一定会回来的 (2020重唱版),赵英俊作品重唱企划
守候 (2020重唱版),4:52,薛之谦,守候 (2020重唱版),赵英俊作品重唱企划
天灵灵 (2020重唱版),3:48,黄雅莉,天灵灵 (2020重唱版),赵英俊作品重唱企划
万万 (2020重唱版),4:18,大鹏,万万 (2020重唱版),赵英俊作品重唱企划
悟空传 (2020重唱版),4:10,萧敬腾,悟空传 (2020重唱版),赵英俊作品重唱企划
祝我快乐,4:37,汪苏泷,祝我快乐,八月馈赠 记得把生活调成喜欢的频道
想自由,4:41,林宥嘉,美妙生活,八月馈赠 记得把生活调成喜欢的频道
伙伴,3:59,周思涵,伙伴,八月馈赠 记得把生活调成喜欢的频道
友谊旅馆 - (散文集《一个人就一个人》主题曲),3:34,杨炅翰,友谊旅馆,八月馈赠 记得把生活调成喜欢的频道
整个八月,3:39,张宇,整个八月,八月馈赠 记得把生活调成喜欢的频道
天外来物,4:17,薛之谦,天外来物,八月馈赠 记得把生活调成喜欢的频道
无名岛,3:28,伍嘉成,无名岛,八月馈赠 记得把生活调成喜欢的频道
年轮说,4:26,杨丞琳,年轮说,八月馈赠 记得把生活调成喜欢的频道
光 (Live),2:11,万茜,聚划算55青春选择之夜晚会Live,八月馈赠 记得把生活调成喜欢的频道
Moonlight,3:12,潘玮柏/袁娅维,Moonlight,八月馈赠 记得把生活调成喜欢的频道
爱转,5:04,张紫宁,莫尔MORE ?? 乌托邦第3章 ?? 数字EP,『华语女声』优质精选
鸟儿飞,3:28,于果,鸟儿飞,『华语女声』优质精选
一步之遥,5:14,任然,一步之遥,『华语女声』优质精选
爱过的人,4:01,任然,爱过的人,『华语女声』优质精选
偏偏,4:03,不靠谱组合,偏偏,『华语女声』优质精选
想想念念,3:00,锦零,想想念念,『华语女声』优质精选
sonder,3:46,司南,sonder,『华语女声』优质精选
想淋雨就别走,4:41,Fine乐团,想淋雨就别走,『华语女声』优质精选
Coco9,4:14,周星星,Coco9,『华语女声』优质精选
不枉,3:32,汪小敏,空,『华语女声』优质精选
若是没有身份吃醋都要把握分寸,1:37,孟琦/Hero-R,若是没有身份吃醋都要把我分寸,夜和你都在熬我
世界末日前一天,4:24,温子琛,世界末日前一天,夜和你都在熬我
以后,3:39,勒溪/邹雪,以后,夜和你都在熬我
今夜无眠,5:26,蓝的够戗/繁星艺园,风之旅,夜和你都在熬我
夜里失联,3:31,长夜看海,夜里失联,夜和你都在熬我
孤惧,1:43,敏捷,孤惧,夜和你都在熬我
晚晚皆安,1:18,敌厌.,晚晚皆安,夜和你都在熬我
黯淡,4:06,姚宇涵,如果情绪也能被调色那就好了,夜和你都在熬我
秋,3:15,勒溪/elena,秋,夜和你都在熬我
长夜看海,4:23,长夜看海,私藏心动,夜和你都在熬我
沧海一声笑,5:16,GAI周延/刘煜,沧海一声笑,走路带风 | 如果你需要音乐来充充电
开心真Giao,3:55,徐真真/黑猫警长Giao哥,开心真Giao,走路带风 | 如果你需要音乐来充充电
Hello,3:05,王霏霏（Fei）/王嘉尔,Hello,走路带风 | 如果你需要音乐来充充电
绝世舞姬,3:05,一棵小葱张晓涵/一棵小葱戚琦,绝世舞姬,走路带风 | 如果你需要音乐来充充电
FLOW,3:51,方大同/王力宏,JTW西游记 (BLACK),走路带风 | 如果你需要音乐来充充电
Yes Day,3:28,Jony J,yes day,走路带风 | 如果你需要音乐来充充电
明天的烦恼交给明天,3:44,Mr. Miss,先生小姐,走路带风 | 如果你需要音乐来充充电
Bye Bye (Live版),4:10,旅行团,旅行团＆魏如萱·专场,走路带风 | 如果你需要音乐来充充电
小姐你好,4:03,马赛克,马赛克,走路带风 | 如果你需要音乐来充充电
道山靓仔,5:26,五条人,县城记,走路带风 | 如果你需要音乐来充充电
皮囊,5:55,萧敬腾,欲望反光,乘风破浪的姐姐│竞演舞台歌曲收录
驰 Timelapse,3:13,CORSAK胡梦周,驰 Timelapse,乘风破浪的姐姐│竞演舞台歌曲收录
独上C楼 (feat. 范晓萱),4:05,YELLOW/范晓萱,马戏团,乘风破浪的姐姐│竞演舞台歌曲收录
一剪梅,3:46,费玉清,一剪梅,乘风破浪的姐姐│竞演舞台歌曲收录
没有理想的人不伤心 (Remix版),4:41,新裤子,没有理想的人不伤心 (Remix版),乘风破浪的姐姐│竞演舞台歌曲收录
我的新衣,4:06,VaVa毛衍七/Ty./王倩倩,我的新衣,乘风破浪的姐姐│竞演舞台歌曲收录
花样年华,4:07,梁朝伟/吴恩琪,梁朝伟眼中的花样年华,乘风破浪的姐姐│竞演舞台歌曲收录
彩虹节拍,3:34,易言/肥皂菌丨珉珉的猫咪丨/赵方婧/音阙诗听/西瓜Kune,彩虹节拍,乘风破浪的姐姐│竞演舞台歌曲收录
Gentlewoman,3:36,A-Lin,罪恶感,乘风破浪的姐姐│竞演舞台歌曲收录
Shadow - (如影随形),3:28,朱婧汐Akini Jing,Shadow,乘风破浪的姐姐│竞演舞台歌曲收录
看我72变,3:46,蔡依林,看我72变,王一博这就是街舞3 BGM
Petrified,3:40,Fort Minor,The Rising Tied,王一博这就是街舞3 BGM
Electric Kingdom,6:49,Twilight 22,"Street Jams: Electric Funk, Vols. 1-4",王一博这就是街舞3 BGM
Shake What You Got,3:39,Dazz Band,Keep It Live (Expanded Edition),王一博这就是街舞3 BGM
Drops,4:01,FKJ/Tom Bailey,"TheSoundYouNeed, Vol. 2",王一博这就是街舞3 BGM
Boom Boom Pow (Clean),3:36,Black Eyed Peas,Boom Boom Pow,王一博这就是街舞3 BGM
Black Samurai,3:18,WYR GEMI,Black Samurai,王一博这就是街舞3 BGM
Washington Men / Indy's Home,1:03,John Williams,Raiders of the Lost Ark (Original Motion Picture Soundtrack),王一博这就是街舞3 BGM
Waterfall Fight,4:03,Ludwig G??ransson,Black Panther (Original Score),王一博这就是街舞3 BGM
Assets,3:19,Yellow Claw/Tropkillaz/The Kemist,Amsterdam Twerk Music,王一博这就是街舞3 BGM
一方水墨中,4:01,hpn航,一方水墨中,橘右京专属伤感BGM
我有酒你有故事吗,3:21,马子木,我有酒你有故事吗,橘右京专属伤感BGM
中毒了TOXIN（prod. by 27 Corazones）,2:41,金言熹,中毒了TOXIN,橘右京专属伤感BGM
若是没有身份吃醋都要把握分寸,1:37,孟琦/Hero-R,若是没有身份吃醋都要把我分寸,橘右京专属伤感BGM
网愈云,1:34,不成风,网愈云,橘右京专属伤感BGM
你 是 我 眼 里 的 星 辰 大 海,1:46,无名之爱,你 是 我 眼 里 的 星 辰 大 海,橘右京专属伤感BGM
不 要 再 离 开 我,1:33,北斗小七,不 要 离 开 我,橘右京专属伤感BGM
穿 越 山 海 拥 抱 你,2:00,无名之爱,穿 越 山 海 拥 抱 你,橘右京专属伤感BGM
你是寻不到的人间,1:39,Pyb,LIFE&SOUL,橘右京专属伤感BGM
高考那个夏天,3:08,高宇Slient,致高考,橘右京专属伤感BGM
天外来物,4:17,薛之谦,天外来物,人生百味 | 漫漫长路总有人陪伴左右
爸爸妈妈,4:44,李荣浩,有理想,人生百味 | 漫漫长路总有人陪伴左右
美错,4:01,王菲,将爱,人生百味 | 漫漫长路总有人陪伴左右
再见琳尼尔,3:18,新学校废物合唱团,再见琳尼尔,人生百味 | 漫漫长路总有人陪伴左右
想见你想见你想见你 - (电视剧《想见你》片尾曲),3:59,八三夭,想见你想见你想见你,人生百味 | 漫漫长路总有人陪伴左右
成人礼,3:38,at17,Kiss Kiss Kiss,人生百味 | 漫漫长路总有人陪伴左右
大了一岁,4:00,连诗雅,大了一岁,人生百味 | 漫漫长路总有人陪伴左右
皆可,4:26,田馥甄,皆可,人生百味 | 漫漫长路总有人陪伴左右
起风了,5:25,买辣椒也用券,起风了,人生百味 | 漫漫长路总有人陪伴左右
十年后的我,4:11,薛凯琪,十年后的我,人生百味 | 漫漫长路总有人陪伴左右
突然好想你 (Live) - (原唱：五月天),5:23,徐佳莹,我是歌手第四季 歌王之战,别看我只是一只羊
停格 - (Frozen),3:49,蔡健雅,停格,别看我只是一只羊
谁 (Live版),4:14,廖俊涛,这个人创作LIVE现场辑,别看我只是一只羊
独家记忆 - (《我不是伟人》国语版),5:07,陈小春,独家记忆 (Hong Kong Version),别看我只是一只羊
太早 - 徐薇（翻自 刘允乐）（Cover 刘允乐）,3:48,徐薇,《太早》,别看我只是一只羊
路过人间 - (Walking by the world),4:05,郁可唯,路过人间,别看我只是一只羊
大城小事,3:31,黎明,烟火 新曲+精选,别看我只是一只羊
上心（翻自 郑欣宜）,4:09,HEST,愿你不用靠失去来懂得,别看我只是一只羊
我还想她,4:07,林俊杰,JJ陆,别看我只是一只羊
Gasoline,3:19,Halsey,BADLANDS (Deluxe Edition),别看我只是一只羊
Vanilla,2:31,落日飞车,VANILLA VILLA,仲夏夜之梦 迷幻浪漫派对计划
傍晚去太子湾吗,4:55,Schoolgirl byebye,傍晚去太子湾吗,仲夏夜之梦 迷幻浪漫派对计划
再谈记忆 - (Say it again),5:38,盘尼西林,与世界温暖相拥,仲夏夜之梦 迷幻浪漫派对计划
Dear Mary,4:50,闷饼MOONBAND,Dear Mary（亲爱的玛丽）,仲夏夜之梦 迷幻浪漫派对计划
summer breeze,3:55,Todd Li/Lacklustrr,summer breeze,仲夏夜之梦 迷幻浪漫派对计划
Paradise... How Far?,4:27,椅子乐团 The Chairs,Paradise... How Far?,仲夏夜之梦 迷幻浪漫派对计划
被你遗忘的森林,4:27,原子邦妮,孤单会消失离开不见,仲夏夜之梦 迷幻浪漫派对计划
花,5:52,Hello Nico,浮游城市,仲夏夜之梦 迷幻浪漫派对计划
窒息,3:16,Sihan/余佳运,窒息／Work It For Me,仲夏夜之梦 迷幻浪漫派对计划
All about Anna,4:28,昨夜派对（L.N Party）,短篇与玫瑰的八毫米,仲夏夜之梦 迷幻浪漫派对计划
夜里失联,3:31,长夜看海,夜里失联,从你以后，再无心动
长夜看海,4:23,长夜看海,私藏心动,从你以后，再无心动
以后,3:39,勒溪/邹雪,以后,从你以后，再无心动
可惜不是你（翻自 梁静茹）,0:18,是你的垚,可惜不是你,从你以后，再无心动
爱，存在（翻自 魏奇奇）,0:21,明歆悦,抖音片段合辑,从你以后，再无心动
海底（空灵柔情版）（翻自 一支榴莲）,1:15,叶隐Regina,海底【百世无丧 请你坚强】,从你以后，再无心动
秋天不回来（翻自 王强）,0:40,Bater official,迷人的危险,从你以后，再无心动
海底（翻自 一支榴莲）,0:19,吴炳文Cookie,翻唱作品,从你以后，再无心动
告白（翻自 沈以诚）,0:30,吴炳文Cookie,翻唱作品,从你以后，再无心动
化身孤岛的鲸（翻自 不才）,0:47,如懿,化身孤岛的鲸,从你以后，再无心动
一个人想着一个人,3:48,如懿,一个人想着一个人,世界已经够坚硬了，对自己温柔一点吧
永不失联的爱,4:19,周兴哲,如果雨之后,世界已经够坚硬了，对自己温柔一点吧
讽刺的情书,4:18,田馥甄,讽刺的情书,世界已经够坚硬了，对自己温柔一点吧
小尖尖,3:55,薛之谦/韩红,小尖尖,世界已经够坚硬了，对自己温柔一点吧
自己 - (电影《花木兰》中文主题曲),3:39,刘亦菲,自己,世界已经够坚硬了，对自己温柔一点吧
二三十,4:24,李荣浩,李荣浩,世界已经够坚硬了，对自己温柔一点吧
在凌晨,5:14,张震岳,阿岳正传,世界已经够坚硬了，对自己温柔一点吧
下雨天,4:25,与少年他/芝麻Mochi,下雨天,世界已经够坚硬了，对自己温柔一点吧
傍晚去太子湾吗,4:55,Schoolgirl byebye,傍晚去太子湾吗,世界已经够坚硬了，对自己温柔一点吧
第三人称,4:29,买辣椒也用券,第三人称,世界已经够坚硬了，对自己温柔一点吧
夜半（翻自 庞琪祥）,0:31,沈辞.,夜半,超好听的高潮翻唱呀
海底（女生片段）（翻自 一支榴莲）,0:44,郑慕茜,海底,超好听的高潮翻唱呀
江南（翻自 林俊杰）,0:28,柳岸,江南+,超好听的高潮翻唱呀
奇迹再现（翻自 毛毛）,0:16,于浩y,奇迹再现,超好听的高潮翻唱呀
我想念（翻自 金志文）,0:18,咬一口小彤,我想念,超好听的高潮翻唱呀
空白格（翻自 杨宗纬）,0:27,李仔仔,无1,超好听的高潮翻唱呀
好想好想（翻自 群星）,0:18,是你的垚,好想好想,超好听的高潮翻唱呀
陋室铭（翻自 卢一帆）,0:18,不是花火呀,,超好听的高潮翻唱呀
不分手的恋爱（片段）（翻自 汪苏泷）,0:40,不二宸,遇,超好听的高潮翻唱呀
有幸（翻自 赵砚卿）,0:32,李仔仔,浑话,超好听的高潮翻唱呀
可是你又不是我,4:16,毛亦周,可是你又不是我,跨过星河迈过月亮去迎接更好的你
如何不想她,4:14,岳泽峰,相信爱情,跨过星河迈过月亮去迎接更好的你
夏日燃烧,3:55,暴走蜗牛乐队,夏日燃烧,跨过星河迈过月亮去迎接更好的你
为了遇见你,4:00,薛之谦,几个薛之谦,跨过星河迈过月亮去迎接更好的你
先知,5:01,田馥甄,先知,跨过星河迈过月亮去迎接更好的你
世间美好与你环环相扣,3:11,柏松,听闻余生,跨过星河迈过月亮去迎接更好的你
那家花店,3:51,CMJ,那家花店,跨过星河迈过月亮去迎接更好的你
爱说出来,3:44,翁梓铭/银河少女团/李崟,爱说出来,跨过星河迈过月亮去迎接更好的你
我乐意,4:02,许嵩,我乐意,跨过星河迈过月亮去迎接更好的你
青柠,3:19,徐秉龙/桃十五,青柠,跨过星河迈过月亮去迎接更好的你
天外来物,4:17,薛之谦,天外来物,以后再遇见请先说 你好”
不 止 在 落 日 黄 昏 时 爱 你,3:22,HOPERUI/Stevieboi,不 止 在 落 日 黄 昏 时 爱 你,以后再遇见请先说 你好”
我好像走出了深渊 又好像早就死在了深渊.,2:59,独无KZ,我好像走出了深渊 又好像早就死在了深渊,以后再遇见请先说 你好”
超喜欢你（片段）（翻自 沈以诚）,0:29,南屹,呓语,以后再遇见请先说 你好”
时迁（片段版demo）,0:34,耳朵玥,时过境迁,以后再遇见请先说 你好”
你是对的人（翻自 戚薇）,0:28,哎鸭芝士没了,这里有一些弹唱想给你们听,以后再遇见请先说 你好”
我 去 宇 宙 偷 星 星，放 在 夜 里 等 你??,2:39,A·D·G,Moon or Star?,以后再遇见请先说 你好”
A Sad Me In Your Eyes,4:18,昨夜派对（L.N Party）,A Sad Me In Your Eyes,以后再遇见请先说 你好”
呓语（翻自 毛不易）,0:16,不是酷盖,呓语,以后再遇见请先说 你好”
挪威的森林 (Live),5:37,伍佰 & China Blue,2005厉害演唱会全纪录精选,伍佰 - 浪漫的摇滚诗人
突然的自我(Live),3:36,伍佰 & China Blue,伍佰力(2004 Live 生命热力),伍佰 - 浪漫的摇滚诗人
Last Dance(Live),4:58,伍佰 & China Blue,生命的现场,伍佰 - 浪漫的摇滚诗人
白鸽(Live),6:05,伍佰 & China Blue,伍佰力(2004 Live 生命热力),伍佰 - 浪漫的摇滚诗人
浪人情歌 (Live),5:22,伍佰 & China Blue,情定滚石X情定巴黎,伍佰 - 浪漫的摇滚诗人
痛哭的人(Live),4:39,伍佰 & China Blue,摇滚.浪漫(夏夜晚风演唱会精选实录),伍佰 - 浪漫的摇滚诗人
枫叶(Live),6:13,伍佰 & China Blue,生命的现场,伍佰 - 浪漫的摇滚诗人
被动 (“双面对决” Live),5:23,伍佰 & China Blue,伍佰 & China Blue 双面对决演唱会全纪录 (“双面对决” Live),伍佰 - 浪漫的摇滚诗人
如果这都不算爱 (Live),3:47,伍佰,冬之火 九重天演唱会特选录音专辑,伍佰 - 浪漫的摇滚诗人
爱你一万年(Live),9:35,伍佰 & China Blue,伍佰的Live 枉费青春,伍佰 - 浪漫的摇滚诗人
曹操（翻自 林俊杰）,0:24,孙鹏凯,《曹操》,"爱不会消失,爱会转移"
撕夜（翻自 阿杜）,1:30,GUEss/roseikebana,撕夜siye,"爱不会消失,爱会转移"
吹灭小山河（翻自 国风堂）,0:19,等什么君,等什么君翻唱合集,"爱不会消失,爱会转移"
Sweet Love,2:27,oreo古灵吉/Blue Eyes,你是草莓味,"爱不会消失,爱会转移"
my love,2:22,GUEss/roseikebana,No LovE,"爱不会消失,爱会转移"
**** Summer,2:33,GUEss/roseikebana,No LovE,"爱不会消失,爱会转移"
天龙八部之宿敌（翻自 南风）,0:38,任玲辉,a hui辉的翻唱合辑,"爱不会消失,爱会转移"
须尽欢（抖音版）（翻自 郑浩Z-Hao）,0:36,要不要买菜,须尽欢（抖音版）,"爱不会消失,爱会转移"
如果下辈子我还记得你（片段版）（翻自 廖伟力）,0:19,袁王月,Demo,"爱不会消失,爱会转移"
九万字（温柔男声）（翻自 黄诗扶）,0:37,向文涛,Cover 1,"爱不会消失,爱会转移"
日不落（抖音弹唱）（翻自 蔡依林）,0:17,绕指柔_,日不落,你要悄悄拔尖，然后惊艳所有人
剑伤（弹唱版）（翻自 李易峰）,0:36,小十九,“开 启 网 抑 模 式.”,你要悄悄拔尖，然后惊艳所有人
我的一个道姑朋友（翻自 双笙）,0:06,不是花火呀,,你要悄悄拔尖，然后惊艳所有人
江南（翻自 林俊杰）,0:28,柳岸,江南+,你要悄悄拔尖，然后惊艳所有人
日不落（翻自 蔡依林）,0:17,柳岸,日不落,你要悄悄拔尖，然后惊艳所有人
顾绍灿-花败你不在（抖音版）（顾绍灿 remix）,0:23,顾绍灿,花败你不在dj,你要悄悄拔尖，然后惊艳所有人
烟火人间（翻自 添儿呗）,0:24,花不怂,锦鲤,你要悄悄拔尖，然后惊艳所有人
虞兮叹(烟嗓版)（翻自 闻人听书_）,0:44,封茗伊白 (小志）,虞兮叹,你要悄悄拔尖，然后惊艳所有人
我走后（翻自 小咪）,0:32,马越敏,我走后,你要悄悄拔尖，然后惊艳所有人
闲庭絮（翻自 小淅儿）,0:48,小淅儿,淅儿的小翻唱,你要悄悄拔尖，然后惊艳所有人
I Am the Fire,4:29,Ghost Monroe,Shadow,黑帮大佬和我的365日/365 dni
The Time of Our Lives,2:57,The Venice Connection,The Time of Our Lives,黑帮大佬和我的365日/365 dni
Dark Room,3:04,Michele Morrone,Dark Room,黑帮大佬和我的365日/365 dni
Hard For Me,2:57,Michele Morrone,Dark Room,黑帮大佬和我的365日/365 dni
Feel It - (电影《黑帮大佬和我的365日》原声),2:39,Michele Morrone,Dark Room,黑帮大佬和我的365日/365 dni
Watch Me Burn,3:06,Michele Morrone,Dark Room,黑帮大佬和我的365日/365 dni
Don't Call Me Up,2:58,Mabel,High Expectations,黑帮大佬和我的365日/365 dni
Here She Comes Again,5:02,R??yksopp,The Inevitable End,黑帮大佬和我的365日/365 dni
Toca Toca,2:46,Fly Project,Kontor House Of House Vol. 19,黑帮大佬和我的365日/365 dni
You,3:18,Alex Condliffe/Lamb Hands,Indie Ballads,黑帮大佬和我的365日/365 dni
病变（翻自 Fi9江澈）,2:13,睡不饱的老笨蛋,关于冬天的纪念,幸好爱情不是一切，幸好一切都不是爱情
你的怀里才是人间,1:52,高宇Slient,你的怀里才是人间,幸好爱情不是一切，幸好一切都不是爱情
不 要 再 离 开 我,1:33,北斗小七,不 要 离 开 我,幸好爱情不是一切，幸好一切都不是爱情
网愈云,1:34,不成风,网愈云,幸好爱情不是一切，幸好一切都不是爱情
边 缘 城 市 的 温 度,2:06,不成风,边 缘 城 市 的 温 度,幸好爱情不是一切，幸好一切都不是爱情
穿 越 山 海 拥 抱 你,2:00,无名之爱,穿 越 山 海 拥 抱 你,幸好爱情不是一切，幸好一切都不是爱情
又是一个想你的午夜,2:33,高宇Slient/AirFLighT低空飞行,又是一个想你的午夜,幸好爱情不是一切，幸好一切都不是爱情
高考那个夏天,3:08,高宇Slient,致高考,幸好爱情不是一切，幸好一切都不是爱情
爱 会 消 失 吗,1:50,无名之爱,爱 会 消 失 吗,幸好爱情不是一切，幸好一切都不是爱情
爱隔山海,2:48,高宇Slient,住进你梦里,幸好爱情不是一切，幸好一切都不是爱情
我还是（抖音男声版）（翻自 魏晗（懋懋））,0:15,康博文,我还是,橘右京专属BGM
你走（翻自 松紧先生（李宗锦））,0:40,是你的垚,你走,橘右京专属BGM
南下（翻自 徐海俏）,0:19,王浩,南下,橘右京专属BGM
愿你余生漫长，幻想你会抵达（翻自 王贰浪）,0:19,Benom1927,愿你余生漫长,橘右京专属BGM
不跟你好了+不做你的共同好友（翻自 BigYear大年）,0:17,是你的垚,我不跟你好了+不做你的共同好友,橘右京专属BGM
洋葱（翻自 杨宗纬）,0:15,刘大壮,刘大壮的翻唱合辑,橘右京专属BGM
天上的星星不说话（李飘飘版）（翻自 俞天时Kozay/Rarpid望江晴）,0:15,抖音热歌DJ,,橘右京专属BGM
执迷不悟（翻自 铁脑袋mp3）,0:18,南橘ya,等风也等你,橘右京专属BGM
我总在每一个黑夜想你（翻自 井胧）,0:17,Benom1927,丢了你,橘右京专属BGM
我想念那个不下雪的冬天（翻自 金志文）,0:17,南浔,副歌片段cover2,橘右京专属BGM
归去来兮（翻自 花粥）,3:27,ZOE本E,归去来兮,[翻唱精选] 温柔嗓音，是天使的晚安吻
你在终点等我（翻自 王菲）,4:41,小石头和孩子们/韩甜甜,最美的声音属于韩甜甜,[翻唱精选] 温柔嗓音，是天使的晚安吻
声声慢（翻自 崔开潮）,3:08,小石头和孩子们/韩依霖,小石头和孩子们音乐集,[翻唱精选] 温柔嗓音，是天使的晚安吻
叶子（cover 阿桑）,5:29,鲁向卉,鲁向卉吉他翻唱辑,[翻唱精选] 温柔嗓音，是天使的晚安吻
年轮说 - (原唱：杨丞琳),4:15,吴奕妤,年轮说,[翻唱精选] 温柔嗓音，是天使的晚安吻
浪子回头 (cover 茄子蛋),3:54,王玉萌,浪子回头 (cover 茄子蛋),[翻唱精选] 温柔嗓音，是天使的晚安吻
致姗姗来迟的你（翻自 林宥嘉）,4:06,长平,2020翻唱合辑,[翻唱精选] 温柔嗓音，是天使的晚安吻
路过人间（翻自 郁可唯）,4:05,长平,2020翻唱合辑,[翻唱精选] 温柔嗓音，是天使的晚安吻
一点点（翻自 唧唧JIJI）,0:56,Superluckyqi,SuperLuckyQi的中文翻唱,[翻唱精选] 温柔嗓音，是天使的晚安吻
你啊你啊（片段版）（翻自 魏如萱）,0:37,糯米Nomi,糯米Nomi翻唱集合,[翻唱精选] 温柔嗓音，是天使的晚安吻
祝你…,1:22,刘若英,生日快乐 电影原声大碟,您好，我是您亲友为您预定的七夕青蛙
七夕,3:53,许嵩,不如吃茶去,您好，我是您亲友为您预定的七夕青蛙
不,3:51,陈百强,离不开…(陈百强纪念歌集80-93),您好，我是您亲友为您预定的七夕青蛙
孤独 - (Left Alone),5:26,赵雷,无法长大,您好，我是您亲友为您预定的七夕青蛙
万有引力 - (原唱：汪苏泷),4:03,F*yy,万有引力,您好，我是您亲友为您预定的七夕青蛙
孤独的人是可耻的,4:27,张楚,孤独的人是可耻的,您好，我是您亲友为您预定的七夕青蛙
天外来物,4:17,薛之谦,天外来物,您好，我是您亲友为您预定的七夕青蛙
独身主义,4:07,周笔畅,黑.择.明,您好，我是您亲友为您预定的七夕青蛙
其实我…我…我,3:42,古巨基,Y100 (Evil版),您好，我是您亲友为您预定的七夕青蛙
我就不爱唱情歌,3:47,大张伟,大年三十,您好，我是您亲友为您预定的七夕青蛙
裂缝中的阳光（翻自 林俊杰）,0:57,睡不饱的老笨蛋,关于冬天的纪念,眼里的星星没了
暗杠-女生版(童话镇)（汪先生 remix）,0:31,汪先生,退,眼里的星星没了
你走（翻自 松紧先生（李宗锦））,0:21,陆杰,翻唱片段,眼里的星星没了
你就不要想起我（翻自 田馥甄）,0:44,李仔仔,无1,眼里的星星没了
你不知道的事（翻自 王力宏）,0:56,蛋姐,蛋姐的翻唱,眼里的星星没了
借（翻自 玉儿）,0:14,妖妖说,是一些cover2,眼里的星星没了
呓语（翻自 毛不易）,0:28,文政,呓语,眼里的星星没了
奇妙能力歌（Cover.陈粒）（翻自 李雪莱 ）,0:52,千里狗,Cover 5,眼里的星星没了
想自由（不是花火抖音版）（翻自 林宥嘉）,0:23,抖音热歌DJ,,眼里的星星没了
分寸（翻自 李鑫玲）,0:18,王雨桐,雨桐翻唱集,眼里的星星没了
剃须刀 - (Razor),3:30,沈以诚,须后水,整装待发 | 嘿！开学准备好行李箱了吗？
笔记,4:16,周笔畅,超级女声 终极PK,整装待发 | 嘿！开学准备好行李箱了吗？
面膜,3:43,万芳,这天,整装待发 | 嘿！开学准备好行李箱了吗？
电风扇,3:51,张国荣,Printemps,整装待发 | 嘿！开学准备好行李箱了吗？
裙子,3:31,陈斐,裙子,整装待发 | 嘿！开学准备好行李箱了吗？
白色凉鞋,3:33,赵心怡,挚爱一生,整装待发 | 嘿！开学准备好行李箱了吗？
外套,1:59,运来,服饰,整装待发 | 嘿！开学准备好行李箱了吗？
耳机,4:42,王欣宇,耳机,整装待发 | 嘿！开学准备好行李箱了吗？
床单,3:42,羽田,Musick Boy Vol. I 黄金时段,整装待发 | 嘿！开学准备好行李箱了吗？
保温瓶,5:35,张格,保温瓶,整装待发 | 嘿！开学准备好行李箱了吗？
